,alpha,beta,MSE,MAE,R2
369,0.04,0.73,2635.382915,39.62272424,0.52341216
370,0.04,0.74,2673.640227,39.7809946,0.516493633
371,0.04,0.75,2674.255913,39.79523167,0.516382291
372,0.04,0.76,2664.551073,39.77109808,0.518137333
373,0.04,0.77,2660.702129,39.72387324,0.518833384
374,0.04,0.78,2659.863454,39.77644239,0.518985051
375,0.04,0.79,2657.585109,39.74921083,0.519397072
376,0.04,0.8,2661.32553,39.73330348,0.518720647
377,0.04,0.81,2654.442711,39.72482927,0.519965349
378,0.04,0.82,2636.790941,39.60849389,0.52315753
379,0.04,0.83,2651.000119,39.69990424,0.520587914
380,0.04,0.84,2652.966576,39.7180619,0.520232296
381,0.04,0.85,2644.338296,39.67059337,0.521792651
382,0.04,0.86,2668.709397,39.7727734,0.517385334
383,0.04,0.87,2644.851785,39.68138402,0.521699791
384,0.04,0.88,2665.661866,39.74877348,0.517936455
385,0.04,0.89,2642.396384,39.63660098,0.522143831
386,0.04,0.9,2652.719564,39.68399017,0.520276967
387,0.04,0.91,2659.378693,39.80121903,0.519072716
388,0.04,0.92,2652.06969,39.67481385,0.520394491
389,0.04,0.93,2662.738799,39.82703471,0.518465068
390,0.04,0.94,2674.342056,39.85212124,0.516366712
391,0.04,0.95,2670.114217,39.81603787,0.517131283
392,0.04,0.96,2655.660124,39.74183089,0.51974519
393,0.04,0.97,2665.638242,39.74066936,0.517940727
394,0.04,0.98,2665.882428,39.74664835,0.517896568
395,0.04,0.99,2655.876766,39.74789203,0.519706012
396,0.05,0.01,2670.145684,39.78547013,0.517125593
397,0.05,0.02,2641.619415,39.66439378,0.522284339
398,0.05,0.03,2674.549505,39.81227875,0.516329197
399,0.05,0.04,2669.77373,39.86611826,0.517192858
400,0.05,0.05,2661.07479,39.74160712,0.518765991
401,0.05,0.06,2653.047613,39.7450516,0.520217642
402,0.05,0.07,2656.95431,39.63986079,0.519511147
403,0.05,0.08,2648.560477,39.67393144,0.521029104
404,0.05,0.09,2672.520359,39.90686582,0.516696152
405,0.05,0.1,2655.027298,39.69832491,0.519859631
406,0.05,0.11,2658.387567,39.78441136,0.519251954
407,0.05,0.12,2665.735647,39.82011293,0.517923112
408,0.05,0.13,2663.249757,39.81131115,0.518372666
409,0.05,0.14,2658.269902,39.76212542,0.519273232
410,0.05,0.15,2650.538859,39.71826125,0.52067133
411,0.05,0.16,2675.167845,39.82915138,0.516217375
412,0.05,0.17,2665.138163,39.78111602,0.518031163
413,0.05,0.18,2668.80545,39.87142316,0.517367963
414,0.05,0.19,2661.934063,39.80739186,0.518610598
415,0.05,0.2,2654.548914,39.70051163,0.519946143
416,0.05,0.21,2662.368371,39.74968227,0.518532057
417,0.05,0.22,2668.894714,39.70536588,0.517351821
418,0.05,0.23,2664.029199,39.76465361,0.51823171
419,0.05,0.24,2648.882688,39.62626174,0.520970835
420,0.05,0.25,2652.560966,39.74707185,0.520305648
421,0.05,0.26,2664.117779,39.80690967,0.518215691
422,0.05,0.27,2671.102197,39.80127886,0.516952615
423,0.05,0.28,2663.985224,39.7596556,0.518239662
424,0.05,0.29,2653.916723,39.69657864,0.52006047
425,0.05,0.3,2654.614815,39.6962762,0.519934226
426,0.05,0.31,2656.826083,39.85429507,0.519534336
427,0.05,0.32,2660.993701,39.78900681,0.518780655
428,0.05,0.33,2649.825686,39.60017863,0.520800301
429,0.05,0.34,2664.118145,39.84262113,0.518215625
430,0.05,0.35,2656.794265,39.7266018,0.51954009
431,0.05,0.36,2663.328724,39.79876341,0.518358385
432,0.05,0.37,2660.301739,39.65505524,0.518905791
433,0.05,0.38,2643.653865,39.63591924,0.521916425
434,0.05,0.39,2666.77697,39.84739894,0.517734797
435,0.05,0.4,2653.950214,39.77026796,0.520054413
436,0.05,0.41,2666.844564,39.80140905,0.517722574
437,0.05,0.42,2632.736726,39.65121971,0.523890702
438,0.05,0.43,2648.917592,39.72210221,0.520964523
439,0.05,0.44,2658.746045,39.787479,0.519187126
440,0.05,0.45,2652.999249,39.70350626,0.520226388
441,0.05,0.46,2646.682907,39.71506217,0.521368648
442,0.05,0.47,2651.53942,39.72230967,0.520490386
443,0.05,0.48,2670.2679,39.77730674,0.517103491
444,0.05,0.49,2665.669449,39.74777053,0.517935084
445,0.05,0.5,2666.640498,39.77148617,0.517759477
446,0.05,0.51,2634.352639,39.51450792,0.523598477
447,0.05,0.52,2653.412311,39.6555044,0.520151689
448,0.05,0.53,2644.061095,39.68113428,0.521842781
449,0.05,0.54,2652.357814,39.67405416,0.520342386
450,0.05,0.55,2644.872456,39.56022004,0.521696053
451,0.05,0.56,2666.443593,39.76069535,0.517795086
452,0.05,0.57,2658.533738,39.7583666,0.51922552
453,0.05,0.58,2639.131181,39.56287233,0.522734316
454,0.05,0.59,2650.916609,39.71503632,0.520603016
